Code	N°	English Name	Alias
Osma	260	Osmanya	Osmanya
Ougr	143	Old Uyghur	Old_Uyghur
Palm	126	Palmyrene	Palmyrene
Pauc	263	Pau Cin Hau	Pau_Cin_Hau
Pcun	15	Proto-Cuneiform	 
Pelm	16	Proto-Elamite	 
Perm	227	Old Permic	Old_Permic
Phag	331	Phags-pa	Phags_Pa
Phli	131	Inscriptional Pahlavi	Inscriptional_Pahlavi
Phlp	132	Psalter Pahlavi	Psalter_Pahlavi
Phlv	133	Book Pahlavi	 
Phnx	115	Phoenician	Phoenician
Plrd	282	Miao (Pollard)	Miao
Piqd	293	Klingon (KLI pIqaD)	 
Prti	130	Inscriptional Parthian	Inscriptional_Parthian
Psin	103	Proto-Sinaitic	 
Qaaa	900	Reserved for private use (start)	 
Qabx	949	Reserved for private use (end)	 
Ranj	303	Ranjana	 
Rjng	363	Rejang (Redjang, Kaganga)	Rejang
Rohg	167	Hanifi Rohingya	Hanifi_Rohingya
Roro	620	Rongorongo	 
Runr	211	Runic	Runic
Samr	123	Samaritan	Samaritan
Sara	292	Sarati	 
Sarb	105	Old South Arabian	Old_South_Arabian
Saur	344	Saurashtra	Saurashtra
Seal	590	(Small) Seal	 
Sgnw	95	SignWriting	SignWriting
Shaw	281	Shavian (Shaw)	Shavian
Shrd	319	Sharada, Śāradā	Sharada
Shui	530	Shuishu	 
Sidd	302	Siddham, Siddhaṃ, Siddhamātṛkā	Siddham
Sidt	180	Sidetic	 
Sind	318	Khudawadi, Sindhi	Khudawadi
Sinh	348	Sinhala	Sinhala
Sogd	141	Sogdian	Sogdian
Sogo	142	Old Sogdian	Old_Sogdian
Sora	398	Sora Sompeng	Sora_Sompeng
Soyo	329	Soyombo	Soyombo
Sund	362	Sundanese	Sundanese
Sunu	274	Sunuwar	Sunuwar
Sylo	316	Syloti Nagri	Syloti_Nagri
Syrc	135	Syriac	Syriac
Syre	138	Syriac (Estrangelo variant)	 
Syrj	137	Syriac (Western variant)	 
Syrn	136	Syriac (Eastern variant)	 
Tagb	373	Tagbanwa	Tagbanwa
Takr	321	Takri, Ṭākrī, Ṭāṅkrī	Takri
Tale	353	Tai Le	Tai_Le
Talu	354	New Tai Lue	New_Tai_Lue
Taml	346	Tamil	Tamil
Tang	520	Tangut	Tangut
Tavt	359	Tai Viet	Tai_Viet
Tayo	380	Tai Yo	 
Telu	340	Telugu	Telugu
Teng	290	Tengwar	 
Tfng	120	Tifinagh (Berber)	Tifinagh
Tglg	370	Tagalog (Baybayin, Alibata)	Tagalog
Thaa	170	Thaana	Thaana
Thai	352	Thai	Thai
Tibt	330	Tibetan	Tibetan
Tirh	326	Tirhuta	Tirhuta
Tnsa	275	Tangsa	Tangsa
Todr	229	Todhri	Todhri
Tols	299	Tolong Siki	 
Toto	294	Toto	Toto
Tutg	341	Tulu-Tigalari	Tulu_Tigalari
Ugar	40	Ugaritic	Ugaritic
Vaii	470	Vai	Vai
Visp	280	Visible Speech	 
Vith	228	Vithkuqi	Vithkuqi
Wara	262	Warang Citi (Varang Kshiti)	Warang_Citi
Wcho	283	Wancho	Wancho
Wole	480	Woleai	 
Xpeo	30	Old Persian	Old_Persian
Xsux	20	Cuneiform, Sumero-Akkadian	Cuneiform
Yezi	192	Yezidi	Yezidi
Yiii	460	Yi	Yi
Zanb	339	Zanabazar Square (Zanabazarin Dörböljin Useg, Xewtee Dörböljin Bicig, Horizontal Square Script)	Zanabazar_Square
Zinh	994	Code for inherited script	Inherited
Zmth	995	Mathematical notation	 
Zsye	993	Symbols (Emoji variant)	 
Zsym	996	Symbols	 
Zxxx	997	Code for unwritten documents	 
Zyyy	998	Code for undetermined script	Common
Zzzz	999	Code for uncoded script	Unknown
