absolute_url_path,base_path,fragment,sources.label,sources.source
/writing/achuarshiwiar.htm,/writing/achuarshiwiar.htm,,Achuar-Shiwiar_using_Latin / Roman,langalphMap.json
/writing/achumawi.htm,/writing/achumawi.htm,,Achumawi,language.csv
/writing/achumawi.htm,/writing/achumawi.htm,,Achumawi_using_Latin / Roman,langalphMap.json
/writing/adaizan.htm,/writing/adaizan.htm,,Adaizan,language.csv
/writing/adaizan.htm,/writing/adaizan.htm,,Adaizan,writing.csv
/writing/adaizan.htm,/writing/adaizan.htm,,Adaizan_using_Latin / Roman,langalphMap.json
/writing/adamaua.htm,/writing/adamaua.htm,,Adamaua Fulfulde,language.csv
/writing/adamaua.htm,/writing/adamaua.htm,,Adamaua Fulfulde_using_Arabic,langalphMap.json
/writing/adamaua.htm,/writing/adamaua.htm,,Adamaua Fulfulde_using_Latin / Roman,langalphMap.json
/writing/adele.htm,/writing/adele.htm,,Adele,language.csv
/writing/adele.htm,/writing/adele.htm,,Adele_using_Latin / Roman,langalphMap.json
/writing/adhola.htm,/writing/adhola.htm,,Adhola,language.csv
/writing/adhola.htm,/writing/adhola.htm,,Adhola_using_Latin / Roman,langalphMap.json
/writing/adinkra.htm,/writing/adinkra.htm,,Adinkra,writing.csv
/writing/adlam.htm,/writing/adlam.htm,,ADLaM,writing.csv
/writing/adlam.htm,/writing/adlam.htm,,Adlam,langalphSingle.csv
/writing/adyghe.htm,/writing/adyghe.htm,,Adyghe,language.csv
/writing/adyghe.htm,/writing/adyghe.htm,,Adyghe_using_Cyrillic,langalphMap.json
/writing/adzera.htm,/writing/adzera.htm,,Adzera,language.csv
/writing/adzera.htm,/writing/adzera.htm,,Adzera_using_Latin / Roman,langalphMap.json
/writing/afaka.htm,/writing/afaka.htm,,Afaka,writing.csv
/writing/afaka.htm,/writing/afaka.htm,,Afaka,langalphSingle.csv
/writing/afar.htm,/writing/afar.htm,,Afar,language.csv
/writing/afar.htm,/writing/afar.htm,,Afar_using_Latin / Roman,langalphMap.json
/writing/afitti.htm,/writing/afitti.htm,,Afitti,language.csv
/writing/afitti.htm,/writing/afitti.htm,,Afitti_using_Latin / Roman,langalphMap.json
/writing/afrikaans.htm,/writing/afrikaans.htm,,Afrikaans,language.csv
/writing/afrikaans.htm,/writing/afrikaans.htm,,Afrikaans_using_Arabic,langalphMap.json
/writing/afrikaans.htm,/writing/afrikaans.htm,,Afrikaans_using_Latin / Roman,langalphMap.json
/writing/aghul.htm,/writing/aghul.htm,,Aghul,language.csv
/writing/aghul.htm,/writing/aghul.htm,,Aghul_using_Cyrillic,langalphMap.json
/writing/aguaruna.htm,/writing/aguaruna.htm,,Aguaruna,language.csv
/writing/aguaruna.htm,/writing/aguaruna.htm,,Aguaruna_using_Latin / Roman,langalphMap.json
/writing/agutaynen.htm,/writing/agutaynen.htm,,Agutaynen,language.csv
/writing/agutaynen.htm,/writing/agutaynen.htm,,Agutaynen_using_Latin / Roman,langalphMap.json
/writing/ahamb.htm,/writing/ahamb.htm,,Ahamb,language.csv
/writing/ahamb.htm,/writing/ahamb.htm,,Ahamb_using_Latin / Roman,langalphMap.json
/writing/ahanta.htm,/writing/ahanta.htm,,Ahanta,language.csv
/writing/ahanta.htm,/writing/ahanta.htm,,Ahanta_using_Latin / Roman,langalphMap.json
/writing/ahmao.htm,/writing/ahmao.htm,,A-Hmao,language.csv
/writing/ahmao.htm,/writing/ahmao.htm,,A-Hmao_using_Pollard,langalphMap.json
/writing/ahmao.htm,/writing/ahmao.htm,,A-Hmao_using_Latin / Roman,langalphMap.json
/writing/ahom.htm,/writing/ahom.htm,,Ahom,language.csv
/writing/ahom.htm,/writing/ahom.htm,,Ahom,writing.csv
/writing/ahom.htm,/writing/ahom.htm,,Ahom,langalphSingle.csv
/writing/ahtna.htm,/writing/ahtna.htm,,Ahtna,language.csv
/writing/ahtna.htm,/writing/ahtna.htm,,Ahtna_using_Latin / Roman,langalphMap.json
/writing/aima.htm,/writing/aima.htm,,Aima,writing.csv
/writing/ainu.htm,/writing/ainu.htm,,Ainu,language.csv
/writing/ainu.htm,/writing/ainu.htm,,Ainu_using_Japanese scripts,langalphMap.json
/writing/ainu.htm,/writing/ainu.htm,,Ainu_using_Latin / Roman,langalphMap.json
/writing/aiton.htm,/writing/aiton.htm,,Aiton,language.csv
/writing/aiton.htm,/writing/aiton.htm,,Aiton_using_Burmese / Myanmar,langalphMap.json
/writing/aiwoo.htm,/writing/aiwoo.htm,,Äiwoo,language.csv
/writing/aiwoo.htm,/writing/aiwoo.htm,,Äiwoo_using_Latin / Roman,langalphMap.json
/writing/aja.htm,/writing/aja.htm,,Aja,language.csv
/writing/aja.htm,/writing/aja.htm,,Aja_using_Latin / Roman,langalphMap.json
/writing/ajie.htm,/writing/ajie.htm,,Ajië,language.csv
/writing/ajie.htm,/writing/ajie.htm,,Ajië_using_Latin / Roman,langalphMap.json
/writing/aka.htm,/writing/aka.htm,,Aka,language.csv
/writing/aka.htm,/writing/aka.htm,,Aka_using_Latin / Roman,langalphMap.json
/writing/akajeru.htm,/writing/akajeru.htm,,Aka-Jeru,language.csv
/writing/akajeru.htm,/writing/akajeru.htm,,Aka-Jeru_using_Devanagari,langalphMap.json
/writing/akan.htm,/writing/akan.htm,,Akan,language.csv
/writing/akan.htm,/writing/akan.htm,,Akan_using_Latin / Roman,langalphMap.json
/writing/akatek.htm,/writing/akatek.htm,,Akatek,language.csv
/writing/akatek.htm,/writing/akatek.htm,,Akatek_using_Latin / Roman,langalphMap.json
/writing/akawaio.htm,/writing/akawaio.htm,,Akawaio,language.csv
/writing/akawaio.htm,/writing/akawaio.htm,,Akawaio_using_Latin / Roman,langalphMap.json
/writing/akha.htm,/writing/akha.htm,,Akha,language.csv
/writing/akha.htm,/writing/akha.htm,,Akha_using_Burmese / Myanmar,langalphMap.json
/writing/akha.htm,/writing/akha.htm,,Akha_using_Thai,langalphMap.json
/writing/akha.htm,/writing/akha.htm,,Akha_using_Latin / Roman,langalphMap.json
/writing/akhvakh.htm,/writing/akhvakh.htm,,Akhvakh,language.csv
/writing/akhvakh.htm,/writing/akhvakh.htm,,Akhvakh_using_Cyrillic,langalphMap.json
/writing/akkadian.htm,/writing/akkadian.htm,,Akkadian,language.csv
/writing/akkadian.htm,/writing/akkadian.htm,,Akkadian Cuneiform,writing.csv
/writing/akkadian.htm,/writing/akkadian.htm,,Akkadian Cuneiform,langalphSingle.csv
/writing/akkadian.htm,/writing/akkadian.htm,,Akkadian_using_Cuneiform scripts,langalphMap.json
/writing/akkalasami.htm,/writing/akkalasami.htm,,Saami (Akkala),language.csv
/writing/akkalasami.htm,/writing/akkalasami.htm,,Akkala Sámi_using_Cyrillic,langalphMap.json
/writing/aklan.htm,/writing/aklan.htm,,Aklan,language.csv
