base_path,file_exists,fragment,path,sources.label,sources.source
arabic_libyan.htm,True,,arabic_libyan.htm,Arabic (Libyan),language.csv
arabic.htm,True,,arabic.htm,Arabic (Modern Standard),language.csv
arabic.htm,True,,arabic.htm,Arabic,writing.csv
arabic.htm,True,,arabic.htm,Arabic_for_107_languages,langalphMap.json
arabic_moroccan.htm,True,,arabic_moroccan.htm,Arabic (Moroccan),language.csv
arabic_najdi.htm,True,,arabic_najdi.htm,Arabic (Najdi),language.csv
arabic_sudanese.htm,True,,arabic_sudanese.htm,Arabic (Sudanese),language.csv
arabic_syrian.htm,True,,arabic_syrian.htm,Arabic (Syrian),language.csv
arabic_tunisian.htm,True,,arabic_tunisian.htm,Arabic (Tunisian),language.csv
aragonese.php,True,,aragonese.php,Aragonese,language.csv
arakanese.htm,True,,arakanese.htm,Arakanese,language.csv
araki.htm,True,,araki.htm,Araki,language.csv
aramaic.htm,True,,aramaic.htm,Aramaic,language.csv
aramaic.htm,True,,aramaic.htm,Aramaic,writing.csv
aramaic.htm,True,,aramaic.htm,Aramaic,langalphSingle.csv
aranese.htm,True,,aranese.htm,Aranese,language.csv
arapaho.htm,True,,arapaho.htm,Arapaho,language.csv
arawak.htm,True,,arawak.htm,Arawak,language.csv
arberesh.htm,True,,arberesh.htm,Arbëresh,language.csv
archi.htm,True,,archi.htm,Archi,language.csv
are.htm,True,,are.htm,Are,language.csv
areare.htm,True,,areare.htm,ꞌAreꞌare,language.csv
argobba.htm,True,,argobba.htm,Argobba,language.csv
arhuaco.htm,True,,arhuaco.htm,Arhuaco,language.csv
arikara.htm,True,,arikara.htm,Arikara,language.csv
aringa.htm,True,,aringa.htm,Aringa,language.csv
armenian.htm,True,,armenian.htm,Armenian (Eastern),language.csv
armenian.htm,True,,armenian.htm,Armenian (Western),language.csv
armenian.htm,True,,armenian.htm,Armenian,writing.csv
armenian.htm,True,,armenian.htm,Armenian_for_2_languages,langalphMap.json
aromanian.htm,True,,aromanian.htm,Aromanian,language.csv
arosi.htm,True,,arosi.htm,Arosi,language.csv
arrernte.htm,True,,arrernte.htm,Arrernte,language.csv
arta.htm,True,,arta.htm,Arta,language.csv
arvanitic.php,True,,arvanitic.php,Arvanitic,language.csv
ashaninka.htm,True,,ashaninka.htm,Asháninka,language.csv
asheninka.htm,True,,asheninka.htm,Ashéninka,language.csv
assamese.htm,True,,assamese.htm,Assamese,language.csv
assiniboine.htm,True,,assiniboine.htm,Assiniboine,language.csv
assyrianneoaramaic.htm,True,,assyrianneoaramaic.htm,Assyrian / Neo-Assyrian,language.csv
asturian.htm,True,,asturian.htm,Asturian,language.csv
atayal.htm,True,,atayal.htm,Atayal,language.csv
ateso.htm,True,,ateso.htm,Ateso,language.csv
athpare.htm,True,,athpare.htm,Athpare,language.csv
atikamekw.htm,True,,atikamekw.htm,Atikamekw,language.csv
atong.htm,True,,atong.htm,Atong,language.csv
auhelawa.htm,True,,auhelawa.htm,ʼAuhelawa,language.csv
aushi.htm,True,,aushi.htm,Aushi,language.csv
austral.htm,True,,austral.htm,Austral,language.csv
avar.htm,True,,avar.htm,Avar,language.csv
avatime.htm,True,,avatime.htm,Avatime,language.csv
avava.htm,True,,avava.htm,Avava,language.csv
avestan.htm,True,,avestan.htm,Avestan,language.csv
avestan.htm,True,,avestan.htm,Avestan,writing.csv
avestan.htm,True,,avestan.htm,Avestan,langalphSingle.csv
avokaya.htm,True,,avokaya.htm,Avokaya,language.csv
awapit.htm,True,,awapit.htm,Awa Pit,language.csv
awadhi.htm,True,,awadhi.htm,Awadhi,language.csv
awakatek.htm,True,,awakatek.htm,Awakatek,language.csv
awara.htm,True,,awara.htm,Awara,language.csv
awing.htm,True,,awing.htm,Awing,language.csv
awngi.htm,True,,awngi.htm,Awngi,language.csv
ayizo.htm,True,,ayizo.htm,Ayizo,language.csv
aymara.htm,True,,aymara.htm,Aymara,language.csv
aynu.htm,True,,aynu.htm,Äynu,language.csv
ayoreo.htm,True,,ayoreo.htm,Ayoreo,language.csv
azeri.htm,True,,azeri.htm,Azerbaijani,language.csv
babatana.htm,True,,babatana.htm,Babatana,language.csv
babinewitsuwiten.htm,True,,babinewitsuwiten.htm,Babine-Witsuwitʼen,language.csv
badaga.htm,True,,badaga.htm,Badaga,language.csv
bade.htm,True,,bade.htm,Bade,language.csv
baduy.htm,True,,baduy.htm,Baduy,language.csv
bagatha.htm,True,,bagatha.htm,Bagatha,language.csv
bagatha.htm,True,,bagatha.htm,Bagatha,writing.csv
bafanji.htm,True,,bafanji.htm,Bafanji,language.csv
bafaw-balong.htm,True,,bafaw-balong.htm,Bafaw-Balong,language.csv
bagirmi.htm,True,,bagirmi.htm,Bagirmi,language.csv
bagri.htm,True,,bagri.htm,Bagri,language.csv
bagvalal.htm,True,,bagvalal.htm,Bagvalal,language.csv
bahing.htm,True,,bahing.htm,Bahing,language.csv
bahnar.htm,True,,bahnar.htm,Bahnar,language.csv
bai.htm,True,,bai.htm,Bai,language.csv
bajaw.htm,True,,bajaw.htm,Bajaw,language.csv
baka.htm,True,,baka.htm,Baka,language.csv
bakairi.htm,True,,bakairi.htm,Bakairi,language.csv
bakati.htm,True,,bakati.htm,Bakatiʼ,language.csv
balangao.htm,True,,balangao.htm,Balangao,language.csv
balantaganja.htm,True,,balantaganja.htm,Balanta-Ganja,language.csv
balantakentohe.htm,True,,balantakentohe.htm,Balanta-Kentohe,language.csv
balantak.htm,True,,balantak.htm,Balantak,language.csv
balinese.htm,True,,balinese.htm,Balinese,language.csv
balinese.htm,True,,balinese.htm,Balinese,writing.csv
balinese.htm,True,,balinese.htm,Balinese_for_1_languages,langalphMap.json
balti.htm,True,,balti.htm,Balti,language.csv
baluchi.php,True,,baluchi.php,Baluchi,language.csv
bambalang.htm,True,,bambalang.htm,Bambalang,language.csv
bambam.htm,True,,bambam.htm,Bambam,language.csv
bambara.htm,True,,bambara.htm,Bambara,language.csv
bambassi.htm,True,,bambassi.htm,Bambassi,language.csv
bamum.htm,True,,bamum.htm,Bamum,language.csv
bamum.htm,True,,bamum.htm,Bamum,langalphSingle.csv
bamunka.htm,True,,bamunka.htm,Bamunka,language.csv
bana.htm,True,,bana.htm,Bana,language.csv
bandial.htm,True,,bandial.htm,Bandial,language.csv
banggai.htm,True,,banggai.htm,Banggai,language.csv
bangi.htm,True,,bangi.htm,Bangi,language.csv
bangubangu.htm,True,,bangubangu.htm,Bangubangu,language.csv
baniwa.htm,True,,baniwa.htm,Baniwa,language.csv
guainia.htm,True,,guainia.htm,Baniwa of Guainía,language.csv
banjarese.htm,True,,banjarese.htm,Banjarese,language.csv
bantawa.htm,True,,bantawa.htm,Bantawa,language.csv
bantawa.htm,True,,bantawa.htm,Kirat Rai,langalphSingle.csv
bantayanon.htm,True,,bantayanon.htm,Bantayanon,language.csv
bantik.htm,True,,bantik.htm,Bantik,language.csv
bantoanon.htm,True,,bantoanon.htm,Bantoanon,language.csv
baoule.htm,True,,baoule.htm,Baoulé,language.csv
barai.htm,True,,barai.htm,Barai,language.csv
barbareno.htm,True,,barbareno.htm,Barbareño,language.csv
bardi.htm,True,,bardi.htm,Bardi,language.csv
barein.htm,True,,barein.htm,Barein,language.csv
bari.htm,True,,bari.htm,Bari,language.csv
bariai.htm,True,,bariai.htm,Bariai,language.csv
bariba.htm,True,,bariba.htm,Bariba,language.csv
barin.htm,True,,barin.htm,Barin (Mongolian),language.csv
bartangi.htm,True,,bartangi.htm,Bartangi,language.csv
basaa.htm,True,,basaa.htm,Basaa,language.csv
bashkir.htm,True,,bashkir.htm,Bashkir,language.csv
basque.htm,True,,basque.htm,Basque,language.csv
bassa.htm,True,,bassa.htm,Bassa,language.csv
bassa.htm,True,,bassa.htm,Bassa (Vah),langalphSingle.csv
bassari.htm,True,,bassari.htm,Bassari,language.csv
batakangkola.htm,True,,batakangkola.htm,Batak Angkola,language.csv
batakdairi.htm,True,,batakdairi.htm,Batak Dairi / Pakpak,language.csv
batakkaro.htm,True,,batakkaro.htm,Batak Karo,language.csv
batakmandaling.htm,True,,batakmandaling.htm,Batak Mandailing,language.csv
bataksimalungun.htm,True,,bataksimalungun.htm,Batak Simalungun,language.csv
bataktoba.htm,True,,bataktoba.htm,Batak Toba,language.csv
batsbi.htm,True,,batsbi.htm,Batsbi,language.csv
batuley.htm,True,,batuley.htm,Batuley,language.csv
baure.htm,True,,baure.htm,Baure,language.csv
bavarian.htm,True,,bavarian.htm,Bavarian,language.csv
bawm.htm,True,,bawm.htm,Bawm,language.csv
baybayanon.htm,True,,baybayanon.htm,Baybayanon,language.csv
beami.htm,True,,beami.htm,Beami,language.csv
beembe.htm,True,,beembe.htm,Beembe,language.csv
beja.htm,True,,beja.htm,Beja,language.csv
belandabor.htm,True,,belandabor.htm,Belanda Bor,language.csv
belandaviri.htm,True,,belandaviri.htm,Belanda Viri,language.csv
belarusian.htm,True,,belarusian.htm,Belarusian,language.csv
belhare.htm,True,,belhare.htm,Belhare,language.csv
beli.htm,True,,beli.htm,Beli,language.csv
belait.htm,True,,belait.htm,Belait,language.csv
bemba.php,True,,bemba.php,Bemba,language.csv
bena.htm,True,,bena.htm,Bena,language.csv
bench.htm,True,,bench.htm,Bench,language.csv
benga.htm,True,,benga.htm,Benga,language.csv
bengali.htm,True,,bengali.htm,Bengali,language.csv
bengali.htm,True,,bengali.htm,Bengali,writing.csv
bengali.htm,True,,bengali.htm,Eastern Nagari_for_0_languages,langalphMap.json
bengkulu.htm,True,,bengkulu.htm,Bengkulu,language.csv
berba.htm,True,,berba.htm,Berba,language.csv
berom.htm,True,,berom.htm,Berom,language.csv
betawi.htm,True,,betawi.htm,Betawi,language.csv
betedaloa.htm,True,,betedaloa.htm,Bete (Daloa),language.csv
bezhta.htm,True,,bezhta.htm,Bezhta,language.csv
